year,school_code_std,school_name,school_division,school_kind,region,estb,campus_count,ministry_of_education,national_scholarship,ministry_of_science_ict,ministry_of_employment,ministry_of_trade,ministry_of_health,ministry_of_culture,ministry_of_sme,ministry_of_agriculture,other_ministries,local_government,total_support,tuition_revenue,benefit_rate,uploaded_at
2020,0000319,국제사이버대학교,대학,사이버대학(대학),경기,사립,1,4919042130,4750045500,0,0,0,0,0,0,0,246500000,63730000,479226630,79,6.1,2026-08-07T20:45:18.674Z
2020,0002928,국제암대학원대학교,전문대학,전문대학원,경기,특별법법인,1,72475000,0,995500000,0,0,43500000,0,0,0,0,0,1111475000,0,0,2026-08-07T20:45:18.674Z
2020,0000440,김포대학교,전문대학,전문대학,경기,사립,1,8002618461,7472054620,0,100000000,0,0,0,247105595,0,923490000,631454000,2432613436,193,12.6,2026-08-07T20:45:18.674Z
2020,0000441,농협대학교,전문대학,전문대학,경기,사립,1,2187533439,464132600,0,0,0,0,0,0,48019500,6110000,0,1777530339,22,79.9,2026-08-07T20:45:18.674Z
2020,0002818,능인불교대학원대학교,전문대학,전문대학원,경기,사립,1,29750850,0,0,0,0,0,0,0,0,70000000,0,99750850,5,20,2026-08-07T20:45:18.674Z
2020,0000082,단국대학교,대학,대학교,경기,사립,1,69400885967,33391575800,9845388122,0,3155585000,127000000,369950000,3114118100,2363300000,3995924160,3929779820,62910355369,2219,28.4,2026-08-07T20:45:18.674Z
2020,0000448,대림대학교,전문대학,전문대학,경기,사립,1,26025276834,15659511430,0,276372620,40000000,0,19000000,0,29256000,62590420,854883550,11647867994,469,24.8,2026-08-07T20:45:18.674Z
2020,0000097,대진대학교,대학,대학교,경기,사립,1,23986099196,14985953830,1056549000,285000000,770340000,0,0,364944000,0,675688000,2668251655,14820918021,565,26.3,2026-08-07T20:45:18.674Z
2020,0000641,대한신학대학원대학교,전문대학,전문대학원,경기,사립,1,3960140,0,0,0,0,0,0,0,0,0,0,3960140,12,0.3,2026-08-07T20:45:18.674Z
2020,0000457,동남보건대학교,전문대학,전문대학,경기,사립,1,15278004978,9916921634,196699000,0,0,0,0,0,0,24595500,224906190,5807284034,304,19.1,2026-08-07T20:45:18.674Z
2020,0000450,동서울대학교,전문대학,전문대학,경기,사립,1,20978052081,12916076200,114047000,134410000,1011750000,0,0,219805000,0,22464800,104577050,9669029731,397,24.3,2026-08-07T20:45:18.674Z
2020,0000461,동아방송예술대학교,전문대학,전문대학,경기,사립,1,13342590731,7440216990,0,0,0,0,0,0,0,13521600,10742950,5926638291,225,26.3,2026-08-07T20:45:18.674Z
2020,0000465,동원대학교,전문대학,전문대학,경기,사립,1,14141681076,7730177930,0,181550000,0,0,151175000,0,0,38051000,52665490,6834944636,211,32.4,2026-08-07T20:45:18.674Z
2020,0000469,두원공과대학교,전문대학,전문대학,경기,사립,1,8691813151,8117550197,0,411425000,50000000,0,0,118050000,0,26077500,2886706000,4066521454,255,15.9,2026-08-07T20:45:18.674Z
2020,0000108,루터대학교,대학,대학교,경기,사립,1,2147270010,716451500,5028916000,0,0,0,0,0,0,6300000,3915000,6469949510,25,258.7,2026-08-07T20:45:18.674Z
2020,0000109,명지대학교,대학,대학교,경기,사립,1,37510444339,22141625500,1351802000,892309000,1197000000,0,162036000,342941300,0,5762733000,303405170,25381045309,1301,19.5,2026-08-07T20:45:18.674Z
2020,0000482,부천대학교,전문대학,전문대학,경기,사립,1,31471375501,19861521080,313243000,270000000,0,0,0,660890000,0,475356150,1509552950,14838896521,484,30.7,2026-08-07T20:45:18.674Z
2020,0000125,서울신학대학교,대학,대학교,경기,사립,1,7852372677,5959881500,1704950000,0,0,0,5250000,0,0,20251000,170954000,3793896177,196,19.3,2026-08-07T20:45:18.674Z
2020,0000489,서울예술대학교,전문대학,전문대학,경기,사립,1,6981237291,6253613600,0,0,0,0,167500000,0,0,17679500,25000000,937803191,255,3.7,2026-08-07T20:45:18.674Z
2020,0000127,서울장신대학교,대학,대학교,경기,사립,1,1615911326,1314555000,30000000,0,0,0,17000000,0,0,9590000,29972400,387918726,59,6.6,2026-08-07T20:45:18.674Z
2020,0002668,서울제일대학원대학교,전문대학,전문대학원,경기,사립,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-08-07T20:45:18.674Z
2020,0000566,서정대학교,전문대학,전문대학,경기,사립,1,16998952530,12941830370,0,0,0,0,0,0,45000000,104650900,425488060,4632261120,341,13.6,2026-08-07T20:45:18.674Z
2020,0000131,성결대학교,대학,대학교,경기,사립,1,15537993687,9452171497,45014000,270000000,0,0,49500000,0,0,203654500,3556141440,10210132130,387,26.4,2026-08-07T20:45:18.674Z
2020,0000661,성서침례대학원대학교,전문대학,전문대학원,경기,사립,1,1517760,0,0,0,0,0,0,0,0,0,0,1517760,2,0.8,2026-08-07T20:45:18.674Z
2020,0000139,수원가톨릭대학교,대학,대학교,경기,사립,1,248022223,223716800,520500000,0,0,0,0,0,0,1274250,0,546079673,10,55.6,2026-08-07T20:45:18.674Z
2020,0000497,수원과학대학교,전문대학,전문대학,경기,사립,1,12019176211,11585143730,233333000,54156000,0,0,0,215000000,27272723,28395000,95070000,1087259204,301,3.6,2026-08-07T20:45:18.674Z
2020,0000140,수원대학교,대학,대학교,경기,사립,1,16316514097,14314113310,7439070000,0,201000000,0,32800000,2111877000,0,368455000,585518500,12741121287,723,17.6,2026-08-07T20:45:18.674Z
2020,0000496,수원여자대학교,전문대학,전문대학,경기,사립,1,9918295318,9161463490,0,0,0,0,0,183679300,0,135362000,916426915,1992300043,282,7.1,2026-08-07T20:45:18.674Z
2020,0000233,신경대학교,대학,대학교,경기,사립,1,450539462,190529200,644000000,0,0,0,0,0,0,0,1955440,905965702,39,23.4,2026-08-07T20:45:18.674Z
2020,0000501,신구대학교,전문대학,전문대학,경기,사립,1,22019846559,15332597690,0,0,0,0,12628200,66360000,0,42742500,58299740,6867279309,435,15.8,2026-08-07T20:45:18.674Z
2020,0000506,신안산대학교,전문대학,전문대학,경기,사립,1,9853376953,9200709640,0,0,0,0,0,0,0,23617500,27677900,703962713,238,3,2026-08-07T20:45:18.674Z
2020,0002712,신한대학교,대학,대학교,경기,사립,1,15068264106,12425973540,0,0,0,49400000,5250000,180000000,2500000,323486723,5546017030,8748944319,578,15.1,2026-08-07T20:45:18.674Z
2020,0000672,실천신학대학원대학교,전문대학,전문대학원,경기,사립,1,20979000,0,0,0,0,0,0,0,0,0,0,20979000,3,6.4,2026-08-07T20:45:18.674Z
2020,0000145,아신대학교,대학,대학교,경기,사립,1,2417451137,1908751760,19535739000,0,0,0,0,0,0,19728000,18417570,20082583947,73,275,2026-08-07T20:45:18.674Z
2020,0000146,아주대학교,대학,대학교,경기,사립,1,39608016959,12300401200,20915737667,556965000,2558128000,3843220000,342993900,187000000,80000000,4047164813,459145600,60297970739,1215,49.6,2026-08-07T20:45:18.674Z
2020,0000507,안산대학교,전문대학,전문대학,경기,사립,1,16982974677,11223630910,176268000,0,0,0,0,39805000,0,24524000,12712950,6012653717,270,22.3,2026-08-07T20:45:18.674Z
2020,0000147,안양대학교,대학,대학교,경기,사립,1,13952472229,8757530050,80789471000,100000000,164808000,0,50000000,0,0,724187110,1058737870,88082146159,383,230.1,2026-08-07T20:45:18.674Z
2020,0000662,에스라성경대학원대학교,전문대학,전문대학원,경기,사립,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2026-08-07T20:45:18.674Z
2020,0000510,여주대학교,전문대학,전문대학,경기,사립,1,17220826573,11877099162,0,68213600,0,0,72665000,227805000,0,11318500,58520000,5782249511,333,17.4,2026-08-07T20:45:18.674Z
2020,0002651,연성대학교,전문대학,전문대학,경기,사립,1,24989791915,14079554316,0,0,0,0,0,83028000,0,20557600,219404200,11233227399,373,30.1,2026-08-07T20:45:18.674Z
2020,0002653,오산대학교,전문대학,전문대학,경기,사립,1,16210841311,9304065262,0,415654000,135000000,0,0,59944000,0,49495000,856816650,8423685699,313,26.9,2026-08-07T20:45:18.674Z
2020,0000156,용인대학교,대학,대학교,경기,사립,1,12607106059,10329078100,1063639000,0,0,0,141470000,0,0,287880500,74596380,3845613839,516,7.5,2026-08-07T20:45:18.674Z
2020,0000520,용인예술과학대학교,전문대학,전문대학,경기,사립,1,12361143905,7839199360,338953000,100000000,0,0,0,194312000,0,14356500,139896080,5309462125,250,21.2,2026-08-07T20:45:18.674Z
2020,0000568,웅지세무대학교,전문대학,전문대학,경기,사립,1,401655938,270886800,0,0,0,0,0,0,0,13920000,0,144689138,69,2.1,2026-08-07T20:45:18.674Z
2020,0000646,웨스트민스터신학대학원대학교,전문대학,전문대학원,경기,사립,1,39292201,0,0,0,0,0,0,0,0,0,10000000,49292201,30,1.6,2026-08-07T20:45:18.674Z
2020,0000524,유한대학교,전문대학,전문대학,경기,사립,1,19712921514,11216223635,0,153120000,0,0,0,88883500,100000000,23337000,75000000,8937038379,279,32,2026-08-07T20:45:18.674Z
2020,0000527,장안대학교,전문대학,전문대학,경기,사립,1,13273796307,11686940933,44937000,198736000,0,0,0,47778500,0,87545750,255547550,2221400174,328,6.8,2026-08-07T20:45:18.674Z
2020,0000177,중앙승가대학교,대학,대학교,경기,사립,1,345531514,154067500,445368000,0,0,0,0,0,0,130922000,0,767754014,7,105.2,2026-08-07T20:45:18.674Z
2020,0000654,중앙신학대학원대학교,전문대학,전문대학원,경기,사립,1,8979120,0,30000000,0,0,0,0,0,0,0,0,38979120,9,4.3,2026-08-07T20:45:18.674Z
2020,0000187,차의과학대학교,대학,대학교,경기,사립,1,10442615317,3852613360,5386230667,0,663750000,653000000,84826500,83028000,197500000,82790000,77344680,13818471804,286,48.3,2026-08-07T20:45:18.674Z
2020,0000544,청강문화산업대학교,전문대학,전문대학,경기,사립,1,12213095601,8562383880,0,101426140,0,0,12000000,255000000,30000000,24370500,1026945440,5100453801,259,19.7,2026-08-07T20:45:18.674Z
2020,0000667,청심신학대학원대학교,전문대학,전문대학원,경기,사립,1,9528390,0,0,0,0,0,0,0,0,0,0,9528390,4,2.2,2026-08-07T20:45:18.674Z
2020,0000184,칼빈대학교,대학,대학교,경기,사립,1,1065947297,874158600,0,0,0,0,0,0,0,857500,2555000,195201197,71,2.8,2026-08-07T20:45:18.674Z
2020,0000186,평택대학교,대학,대학교,경기,사립,1,9397879766,6250475501,36332237000,0,20000000,0,0,0,0,119900260,111130430,39730671955,303,131.1,2026-08-07T20:45:18.674Z
2020,0000037,한경대학교,대학,대학교,경기,국립,2,73323972562,16224131200,64493040000,158400000,637000000,0,195300000,353200000,1055948060,5106934881,1307883210,130407547513,0,0,2026-08-07T20:45:18.674Z
2020,0000565,한국관광대학교,전문대학,전문대학,경기,사립,1,8463782854,5012894398,0,0,0,0,80000000,0,0,10247000,12395000,3553530456,117,30.5,2026-08-07T20:45:18.674Z
2020,0000247,한국산업기술대학교,대학,대학교,경기,사립,1,27310022507,10350515940,3855460000,380000000,2011830000,0,40000000,4781499100,100000000,43570000,319530720,28491396387,598,47.6,2026-08-07T20:45:18.674Z
2020,0000683,한국학대학원,전문대학,일반대학원,경기,특별법법인,1,6367770,0,1511658000,0,0,0,0,0,0,0,0,1518025770,0,0,2026-08-07T20:45:18.674Z
2020,0000194,한국항공대학교,대학,대학교,경기,사립,1,11816138900,4969632700,2897651000,100000000,483000000,0,0,127832000,0,1333439782,443863700,12232292682,380,32.2,2026-08-07T20:45:18.674Z
2020,0000201,한세대학교,대학,대학교,경기,사립,1,8843248722,4695596500,138044000,100000000,0,0,0,96900000,0,34062500,53893700,4570552422,249,18.4,2026-08-07T20:45:18.674Z
2020,0000202,한신대학교,대학,대학교,경기,사립,1,15597347952,9043605340,29440946000,893430000,5000000,0,36810000,39805000,0,71516650,1149291530,38190541792,375,101.8,2026-08-07T20:45:18.674Z
2020,0000647,합동신학대학원대학교,전문대학,전문대학원,경기,사립,1,17265033,0,0,0,0,0,0,0,0,0,0,17265033,21,0.8,2026-08-07T20:45:18.674Z
2020,0000207,협성대학교,대학,대학교,경기,사립,1,12248345397,8522213630,336564000,722688000,0,0,0,83028000,0,34241000,438005700,5340658467,313,17,2026-08-07T20:45:18.674Z
2020,0000579,ICT폴리텍대학,전문대학,기능대학,경기,사립,1,206463357,206247500,5786000000,0,0,0,0,0,0,1140000,0,5787355857,0,0,2026-08-07T20:45:18.674Z
2020,0002748,가야대학교,대학,대학교,경남,사립,1,4778002345,4421215760,10126199000,0,0,313433000,0,0,0,11556000,0,10807974585,149,72.6,2026-08-07T20:45:18.674Z
2020,0000412,거제대학교,전문대학,전문대학,경남,사립,1,6975701398,2476481800,20000000,70000000,0,0,0,0,0,136344000,500000000,5225563598,71,74.1,2026-08-07T20:45:18.674Z
2020,0000059,경남대학교,대학,대학교,경남,사립,1,34412641298,20590129365,420071500,1939469990,500000000,200100000,88550000,452589945,124000000,810674750,3511707500,21869675618,776,28.2,2026-08-07T20:45:18.674Z
2020,0000402,경남도립거창대학,전문대학,전문대학,경남,공립,1,3936327897,1214687500,0,0,0,0,0,0,0,90000000,9318795000,12130435397,0,0,2026-08-07T20:45:18.674Z
2020,0000403,경남도립남해대학,전문대학,전문대학,경남,공립,1,5120075062,1245934620,0,0,0,0,65000000,0,0,0,9117459000,13056599442,0,0,2026-08-07T20:45:18.674Z
2020,0000007,경상대학교,대학,대학교,경남,국립,1,259755436384,8709882300,6201305500,800205000,3125000000,190000000,760417000,1088892370,3905143720,8278238850,604808000,275999564524,0,0,2026-08-07T20:45:18.674Z
2020,0000569,김해대학교,전문대학,전문대학,경남,사립,1,5890380496,3712307150,103452000,0,0,0,0,0,0,43408800,82661000,2407595146,84,28.7,2026-08-07T20:45:18.674Z
2020,0000509,동원과학기술대학교,전문대학,전문대학,경남,사립,1,9386504828,5383373620,0,0,0,0,0,216169000,0,15261000,319964000,4554525208,128,35.7,2026-08-07T20:45:18.674Z
2020,0000470,마산대학교,전문대학,전문대학,경남,사립,1,17738908683,12751004120,387512000,0,0,0,151175000,50000000,0,39130500,408380000,6024102063,323,18.7,2026-08-07T20:45:18.674Z
2020,0000222,부산장신대학교,대학,대학교,경남,사립,1,782131208,391854500,1227593000,0,0,0,0,0,0,1394000,0,1619263708,24,67,2026-08-07T20:45:18.674Z
2020,0002652,연암공과대학교,전문대학,전문대학,경남,사립,1,6660044246,2368953890,0,0,0,0,0,0,0,11358600,20000000,4322448956,63,68.4,2026-08-07T20:45:18.674Z
2020,0000164,인제대학교,대학,대학교,경남,사립,1,27837783681,16728834500,1295282666,1278168500,342500000,1075000000,94600000,134999000,0,338311410,1169400000,16837210757,753,22.4,2026-08-07T20:45:18.674Z
2020,0000260,진주교육대학교,대학,교육대학,경남,국립,1,20191221049,1449856900,104775800,0,0,0,0,87000000,0,145467182,38050000,19116657131,0,0,2026-08-07T20:45:18.674Z
2020,0000539,진주보건대학교,전문대학,전문대학,경남,사립,1,8274984430,7699485327,0,0,0,0,0,0,0,50319100,0,625818203,166,3.8,2026-08-07T20:45:18.674Z
2020,0000249,창신대학교,대학,대학교,경남,사립,1,3504964143,2678590720,2859746000,204700000,0,0,0,0,0,31894000,308275000,4230988423,135,31.4,2026-08-07T20:45:18.674Z
2020,0000028,창원대학교,대학,대학교,경남,국립,1,93014488304,12053865320,1702389000,533505000,2692600000,0,57000000,890877275,45000000,329091400,4280082510,91491168169,0,0,2026-08-07T20:45:18.674Z
2020,0000542,창원문성대학교,전문대학,전문대학,경남,사립,1,10333008301,6184108000,0,562700000,0,0,0,94643000,0,21495000,1217480000,6045218301,142,42.5,2026-08-07T20:45:18.674Z
2020,0000570,한국승강기대학교,전문대학,전문대학,경남,사립,1,3770936456,1458757370,0,119885000,0,0,0,0,0,3613000,635625000,3071302086,43,71,2026-08-07T20:45:18.674Z
2020,0000410,가톨릭상지대학교,전문대학,전문대학,경북,사립,1,9859905883,4785669634,0,259590000,0,0,0,30000000,0,51411200,205950000,5621187449,103,54.6,2026-08-07T20:45:18.674Z
2020,0000456,경북과학대학교,전문대학,전문대학,경북,사립,1,3864536303,3420508980,98926000,321000000,0,0,0,44000000,0,203949000,186900000,1298802323,92,14.1,2026-08-07T20:45:18.674Z
2020,0000405,경북도립대학교,전문대학,전문대학,경북,공립,1,3092390045,1061298530,0,0,0,0,0,182639000,0,0,17652496000,19866226515,0,0,2026-08-07T20:45:18.674Z
2020,0000438,경북보건대학교,전문대학,전문대학,경북,사립,1,5885414306,2820626100,0,0,0,0,0,160000000,0,3872000,569800000,3798460206,70,54.5,2026-08-07T20:45:18.674Z
2020,0002642,경북전문대학교,전문대학,전문대학,경북,사립,1,13252086347,7714766230,0,93254000,0,0,38400000,96000000,0,28469360,473740050,6267183527,162,38.6,2026-08-07T20:45:18.674Z
2020,0000668,경안대학원대학교,전문대학,전문대학원,경북,사립,1,1884600,0,70700000,0,0,0,0,0,0,0,0,72584600,3,28.3,2026-08-07T20:45:18.674Z
2020,0000244,경운대학교,대학,대학교,경북,사립,1,19864354261,10377085500,940480000,375000000,0,0,104600000,4000000,0,49625000,1001261000,11962234761,332,36,2026-08-07T20:45:18.674Z
2020,0000064,경일대학교,대학,대학교,경북,사립,1,26977294808,12667488710,165204000,368790000,129920000,0,0,531378000,0,85344000,905314000,16495756098,460,35.9,2026-08-07T20:45:18.674Z
2020,0000065,경주대학교,대학,대학교,경북,사립,2,2770064882,1569010000,26178507000,81000000,0,0,0,0,194110000,28049000,40000000,27722720882,70,16,2026-08-07T20:45:18.674Z
2020,0000430,구미대학교,전문대학,전문대학,경북,사립,1,24616738716,15219005880,0,603705000,0,0,0,59555000,0,1387210000,1085392400,12533595236,300,41.8,2026-08-07T20:45:18.674Z
2020,0000010,금오공과대학교,대학,대학교,경북,국립,1,64951529278,8850737550,1550258400,0,627250000,0,0,1186257900,0,726896200,2540000000,62731454228,0,0,2026-08-07T20:45:18.674Z
2020,0000241,김천대학교,대학,대학교,경북,사립,1,5841596332,5104486234,96030000,0,0,0,0,0,12000000,41802330,774950000,1661892428,204,8.2,2026-08-07T20:45:18.674Z
2020,0000442,대경대학교,전문대학,전문대학,경북,사립,1,15972743856,9927288309,0,162100000,0,0,0,0,29100000,57741350,458450000,6752846897,225,30.1,2026-08-07T20:45:18.674Z
2020,0000088,대구가톨릭대학교,대학,대학교,경북,사립,1,41506358435,24064316090,14013464000,417254000,2679250000,637000000,20250000,354742400,165000000,2880008000,3059162000,41668172745,927,45,2026-08-07T20:45:18.674Z
2020,0000084,대구대학교,대학,대학교,경북,사립,1,58690165149,36153265950,1246979000,708750000,85000000,36800000,170970000,3576136000,709000000,716639630,1075400000,30862573829,1249,24.7,2026-08-07T20:45:18.674Z
2020,0000320,대구사이버대학교,대학,사이버대학(대학),경북,사립,1,4417446705,4360906350,0,0,0,0,0,0,0,100000000,13200000,169740355,95,1.8,2026-08-07T20:45:18.674Z
2020,0000087,대구예술대학교,대학,대학교,경북,사립,1,2388837775,2032267670,1365400000,0,0,0,30000000,0,0,30117500,30000000,1812087605,76,23.7,2026-08-07T20:45:18.674Z
2020,0000061,대구한의대학교,대학,대학교,경북,사립,1,27216911370,13258153260,915676000,412734000,0,80000000,222570000,48062660,0,1476344160,2187061000,19301205930,492,39.2,2026-08-07T20:45:18.674Z
2020,0000093,대신대학교,대학,대학교,경북,사립,1,1541136790,1407175000,0,0,0,0,0,0,0,52866330,0,186828120,36,5.1,2026-08-07T20:45:18.674Z
2020,0000106,동양대학교,대학,대학교,경북,사립,1,8784477669,7633520502,1893928000,0,0,0,96900000,65501000,0,162247500,158610450,3528144117,264,13.4,2026-08-07T20:45:18.674Z
2020,0000475,문경대학교,전문대학,전문대학,경북,사립,1,4781099771,2437346000,0,0,0,0,62600000,0,0,192865650,1349831000,3949050421,51,78.2,2026-08-07T20:45:18.674Z
2020,0000550,선린대학교,전문대학,전문대학,경북,사립,1,9022069288,5545958400,0,0,0,0,0,0,0,15988670,313500000,3805599558,131,29.1,2026-08-07T20:45:18.674Z
2020,0002647,성덕대학교,전문대학,전문대학,경북,사립,1,6070747365,3383689375,0,0,0,0,0,0,194110000,92311800,0,2973479790,77,38.8,2026-08-07T20:45:18.674Z
2020,0002650,안동과학대학교,전문대학,전문대학,경북,사립,1,12394110989,6835908650,0,100000000,0,0,67000000,0,0,26634630,125000000,5876836969,150,39.2,2026-08-07T20:45:18.674Z
2020,0000021,안동대학교,대학,대학교,경북,국립,1,85268420853,10037396740,2284313300,400000000,57000000,0,67200000,86907800,709000000,579044000,3754798560,83169287773,0,0,2026-08-07T20:45:18.674Z
2020,0000151,영남대학교,대학,대학교,경북,사립,1,68407486724,37428839250,2632024733,285354096,2694660000,472200000,181620000,381951600,478000000,2690763150,3392786000,44188007053,1701,26,2026-08-07T20:45:18.674Z
2020,0000153,영남신학대학교,대학,대학교,경북,사립,1,1671285526,1394629167,195000000,0,0,0,0,0,0,12190000,67752000,551598359,43,12.8,2026-08-07T20:45:18.674Z
2020,0000418,영남외국어대학,전문대학,전문대학,경북,사립,1,153397477,51273620,37500000,0,0,0,0,0,0,166182000,0,305805857,28,11,2026-08-07T20:45:18.674Z
2020,0000160,위덕대학교,대학,대학교,경북,사립,1,8741511982,5778196530,50000000,180000000,0,0,103500000,39416000,0,216481000,1248600000,4801312452,206,23.3,2026-08-07T20:45:18.674Z
2020,0000188,포항공과대학교,대학,대학교,경북,사립,1,30357129964,1881090210,40233879333,0,3832368000,435550000,1333300000,554258000,114000000,2135096000,3243502920,80357994007,238,338,2026-08-07T20:45:18.674Z
2020,0002658,포항대학교,전문대학,전문대학,경북,사립,1,5150829789,4569612500,0,0,0,0,0,89814679,0,28900500,1192500000,1892432468,107,17.6,2026-08-07T20:45:18.674Z
2020,0000576,한국복지사이버대학,전문대학,사이버대학(전문대학),경북,사립,1,2582633004,2547252000,0,0,0,0,0,0,0,0,0,35381004,51,0.7,2026-08-07T20:45:18.674Z
